symbol,group,strategy,stop_loss,fit_rating,bars,start_at,end_at,trades,win_rate,profit_factor,total_pnl,average_trade_pnl,max_drawdown,average_hold_bars,best_trade,worst_trade,no_signal_periods,data_issues,notes
AAPL,Large-cap stocks,Relative Strength Strategy,3pct,Acceptable Fit,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,13,38.46,2.04,16.98,1.31,-11.88,2.77,25.37,-3.46,705,606,Historically tested starting point; not a guarantee.
AAPL,Large-cap stocks,Relative Strength Strategy,5pct,Acceptable Fit,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,13,38.46,2.04,16.98,1.31,-11.88,2.77,25.37,-3.46,705,606,Historically tested starting point; not a guarantee.
AAPL,Large-cap stocks,RSI Reversion Strategy,5pct,Acceptable Fit,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,9,55.56,1.12,8.06,0.9,-68.26,41.44,33.47,-50.0,1005,0,Historically tested starting point; not a guarantee.
AAPL,Large-cap stocks,RSI Reversion Strategy,none,Acceptable Fit,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,8,62.5,1.1,6.81,0.85,-69.52,48.75,33.47,-56.91,1006,0,Historically tested starting point; not a guarantee.
AAPL,Large-cap stocks,Momentum Strategy,none,Watch / Needs More Data,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,1,100.0,84.82,84.82,84.82,0.0,593,84.82,84.82,1057,0,Needs more closed trades before relying on this pairing.
AAPL,Large-cap stocks,Momentum Strategy,2pct,Watch / Needs More Data,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,1,100.0,84.82,84.82,84.82,0.0,593,84.82,84.82,1057,0,Needs more closed trades before relying on this pairing.
AAPL,Large-cap stocks,Momentum Strategy,3pct,Watch / Needs More Data,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,1,100.0,84.82,84.82,84.82,0.0,593,84.82,84.82,1057,0,Needs more closed trades before relying on this pairing.
AAPL,Large-cap stocks,Momentum Strategy,5pct,Watch / Needs More Data,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,1,100.0,84.82,84.82,84.82,0.0,593,84.82,84.82,1057,0,Needs more closed trades before relying on this pairing.
AAPL,Large-cap stocks,EMA Strategy,none,Watch / Needs More Data,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,1,100.0,53.14,53.14,53.14,0.0,1008,53.14,53.14,1026,0,Needs more closed trades before relying on this pairing.
AAPL,Large-cap stocks,EMA Strategy,3pct,Watch / Needs More Data,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,2,50.0,4.42,102.51,51.26,-30.0,450,132.51,-30.0,1025,0,Needs more closed trades before relying on this pairing.
AAPL,Large-cap stocks,EMA Strategy,5pct,Watch / Needs More Data,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,2,50.0,2.65,82.51,41.26,-50.0,457,132.51,-50.0,1025,0,Needs more closed trades before relying on this pairing.
AAPL,Large-cap stocks,Pullback Strategy,none,Watch / Needs More Data,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,591,0,Needs more closed trades before relying on this pairing.
AAPL,Large-cap stocks,Pullback Strategy,2pct,Watch / Needs More Data,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,591,0,Needs more closed trades before relying on this pairing.
AAPL,Large-cap stocks,Pullback Strategy,3pct,Watch / Needs More Data,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,591,0,Needs more closed trades before relying on this pairing.
AAPL,Large-cap stocks,Pullback Strategy,5pct,Watch / Needs More Data,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,591,0,Needs more closed trades before relying on this pairing.
AAPL,Large-cap stocks,VWAP Strategy,none,Not Recommended,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,3,33.33,0.67,-4.43,-1.48,-7.82,13,9.06,-7.82,1001,0,Weak profit factor in the available sample.
AAPL,Large-cap stocks,VWAP Strategy,2pct,Not Recommended,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,3,33.33,0.67,-4.43,-1.48,-7.82,13,9.06,-7.82,1001,0,Weak profit factor in the available sample.
AAPL,Large-cap stocks,VWAP Strategy,3pct,Not Recommended,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,3,33.33,0.67,-4.43,-1.48,-7.82,13,9.06,-7.82,1001,0,Weak profit factor in the available sample.
AAPL,Large-cap stocks,VWAP Strategy,5pct,Not Recommended,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,3,33.33,0.67,-4.43,-1.48,-7.82,13,9.06,-7.82,1001,0,Weak profit factor in the available sample.
AAPL,Large-cap stocks,Bollinger Reversion Strategy,2pct,Not Recommended,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,32,40.62,0.48,-67.18,-2.1,-83.53,13.03,20.67,-20.0,905,0,Weak profit factor in the available sample.
AAPL,Large-cap stocks,Bollinger Reversion Strategy,none,Not Recommended,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,32,40.62,0.46,-73.89,-2.31,-90.23,13.78,20.67,-25.74,907,0,Weak profit factor in the available sample.
AAPL,Large-cap stocks,Bollinger Reversion Strategy,5pct,Not Recommended,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,32,40.62,0.46,-73.89,-2.31,-90.23,13.78,20.67,-25.74,907,0,Weak profit factor in the available sample.
AAPL,Large-cap stocks,Bollinger Reversion Strategy,3pct,Not Recommended,1070,2026-02-05T21:30:00,2026-05-08T19:45:00,32,40.62,0.44,-78.15,-2.44,-94.5,13.19,20.67,-30.0,906,0,Weak profit factor in the available sample.
GOOGL,Large-cap stocks,Momentum Strategy,none,Strong Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,4,50.0,6.82,62.08,15.52,-10.66,51.5,59.33,-8.74,608,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,Momentum Strategy,2pct,Strong Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,4,50.0,6.82,62.08,15.52,-10.66,51.5,59.33,-8.74,608,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,Momentum Strategy,3pct,Strong Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,4,50.0,6.82,62.08,15.52,-10.66,51.5,59.33,-8.74,608,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,Momentum Strategy,5pct,Strong Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,4,50.0,6.82,62.08,15.52,-10.66,51.5,59.33,-8.74,608,0,Historically tested starting point; not a guarantee.
GOOGL,Large-cap stocks,Donchian Breakout Strategy,2pct,Strong Fit,626,2026-02-05T21:15:00,2026-05-08T19:45:00,7,57.14,4.65,197.04,28.15,-54.0,51.43,119.82,-20.0,562,0,Historically tested starting point; not a guarantee.
